,sales,date,region
0,163800,2018-02-06,north
1,164700,2018-02-06,south
2,173100,2018-02-06,east
3,155700,2018-02-06,west
28,158700,2018-02-07,north
29,169800,2018-02-07,south
30,154200,2018-02-07,east
31,163500,2018-02-07,west
56,160200,2018-02-08,north
57,153600,2018-02-08,south
58,150300,2018-02-08,east
59,170100,2018-02-08,west
84,175800,2018-02-09,north
85,166200,2018-02-09,south
86,178200,2018-02-09,east
87,151500,2018-02-09,west
112,166200,2018-02-10,north
113,155700,2018-02-10,south
114,165000,2018-02-10,east
115,167400,2018-02-10,west
140,155400,2018-02-11,north
141,158700,2018-02-11,south
142,156300,2018-02-11,east
143,176400,2018-02-11,west
168,175800,2018-02-12,north
169,160800,2018-02-12,south
170,156900,2018-02-12,east
171,165300,2018-02-12,west
196,157200,2018-02-13,north
197,171600,2018-02-13,south
198,177300,2018-02-13,east
199,172500,2018-02-13,west
224,176700,2018-02-14,north
225,171000,2018-02-14,south
226,169800,2018-02-14,east
227,151200,2018-02-14,west
252,174600,2018-02-15,north
253,173400,2018-02-15,south
254,152400,2018-02-15,east
255,161400,2018-02-15,west
280,157800,2018-02-16,north
281,178200,2018-02-16,south
282,152700,2018-02-16,east
283,175200,2018-02-16,west
308,178500,2018-02-17,north
309,168900,2018-02-17,south
310,164100,2018-02-17,east
311,157500,2018-02-17,west
336,164400,2018-02-18,north
337,167400,2018-02-18,south
338,155100,2018-02-18,east
339,173700,2018-02-18,west
364,156300,2018-02-19,north
365,164700,2018-02-19,south
366,160500,2018-02-19,east
367,153900,2018-02-19,west
392,169800,2018-02-20,north
393,157500,2018-02-20,south
394,150000,2018-02-20,east
395,155100,2018-02-20,west
420,173700,2018-02-21,north
421,154200,2018-02-21,south
422,166500,2018-02-21,east
423,154800,2018-02-21,west
448,163500,2018-02-22,north
449,163200,2018-02-22,south
450,166800,2018-02-22,east
451,176400,2018-02-22,west
476,153300,2018-02-23,north
477,156300,2018-02-23,south
478,164100,2018-02-23,east
479,177300,2018-02-23,west
504,162900,2018-02-24,north
505,169800,2018-02-24,south
506,172500,2018-02-24,east
507,172200,2018-02-24,west
532,159600,2018-02-25,north
533,171000,2018-02-25,south
534,163500,2018-02-25,east
535,165900,2018-02-25,west
560,168600,2018-02-26,north
561,153300,2018-02-26,south
562,152400,2018-02-26,east
563,153000,2018-02-26,west
588,166500,2018-02-27,north
589,169500,2018-02-27,south
590,157800,2018-02-27,east
591,162000,2018-02-27,west
616,176700,2018-02-28,north
617,159300,2018-02-28,south
618,174300,2018-02-28,east
619,155700,2018-02-28,west
644,166800,2018-03-01,north
645,178200,2018-03-01,south
646,152700,2018-03-01,east
647,166800,2018-03-01,west
672,163500,2018-03-02,north
673,156900,2018-03-02,south
674,174600,2018-03-02,east
675,177300,2018-03-02,west
700,153900,2018-03-03,north
701,150000,2018-03-03,south
702,156900,2018-03-03,east
703,155700,2018-03-03,west
728,177300,2018-03-04,north
729,164400,2018-03-04,south
730,161400,2018-03-04,east
731,167400,2018-03-04,west
756,153300,2018-03-05,north
757,165300,2018-03-05,south
758,155700,2018-03-05,east
759,174600,2018-03-05,west
784,171900,2018-03-06,north
785,171900,2018-03-06,south
786,165900,2018-03-06,east
787,180000,2018-03-06,west
812,158100,2018-03-07,north
813,160200,2018-03-07,south
814,160800,2018-03-07,east
815,165000,2018-03-07,west
840,161100,2018-03-08,north
841,153000,2018-03-08,south
842,169800,2018-03-08,east
843,166800,2018-03-08,west
868,174600,2018-03-09,north
869,152400,2018-03-09,south
870,150600,2018-03-09,east
871,170400,2018-03-09,west
896,178800,2018-03-10,north
897,171900,2018-03-10,south
898,174600,2018-03-10,east
899,158400,2018-03-10,west
924,169200,2018-03-11,north
925,163500,2018-03-11,south
926,160800,2018-03-11,east
927,159000,2018-03-11,west
952,159900,2018-03-12,north
953,151800,2018-03-12,south
954,160200,2018-03-12,east
955,165900,2018-03-12,west
980,164400,2018-03-13,north
981,161100,2018-03-13,south
982,155400,2018-03-13,east
983,151500,2018-03-13,west
1008,151500,2018-03-14,north
1009,163200,2018-03-14,south
1010,151200,2018-03-14,east
1011,177600,2018-03-14,west
1036,167700,2018-03-15,north
1037,150300,2018-03-15,south
1038,160500,2018-03-15,east
1039,164700,2018-03-15,west
1064,150600,2018-03-16,north
1065,173700,2018-03-16,south
1066,159000,2018-03-16,east
1067,176700,2018-03-16,west
1092,159300,2018-03-17,north
1093,161400,2018-03-17,south
1094,171000,2018-03-17,east
1095,166200,2018-03-17,west
1120,165000,2018-03-18,north
1121,175500,2018-03-18,south
1122,169800,2018-03-18,east
1123,165900,2018-03-18,west
1148,168300,2018-03-19,north
1149,150900,2018-03-19,south
1150,150000,2018-03-19,east
1151,154500,2018-03-19,west
1176,164700,2018-03-20,north
1177,161400,2018-03-20,south
1178,162900,2018-03-20,east
1179,167700,2018-03-20,west
1204,174300,2018-03-21,north
1205,156900,2018-03-21,south
1206,159300,2018-03-21,east
1207,157800,2018-03-21,west
1232,157800,2018-03-22,north
1233,158100,2018-03-22,south
1234,165300,2018-03-22,east
1235,157800,2018-03-22,west
1260,176100,2018-03-23,north
1261,161100,2018-03-23,south
1262,174900,2018-03-23,east
1263,176400,2018-03-23,west
1288,171600,2018-03-24,north
1289,171000,2018-03-24,south
1290,180000,2018-03-24,east
1291,172800,2018-03-24,west
1316,174300,2018-03-25,north
1317,176400,2018-03-25,south
1318,174000,2018-03-25,east
1319,170700,2018-03-25,west
1344,150900,2018-03-26,north
1345,164100,2018-03-26,south
1346,153300,2018-03-26,east
1347,175200,2018-03-26,west
1372,176700,2018-03-27,north
1373,159000,2018-03-27,south
1374,153300,2018-03-27,east
1375,170400,2018-03-27,west
1400,167100,2018-03-28,north
1401,152700,2018-03-28,south
1402,152400,2018-03-28,east
1403,162900,2018-03-28,west
1428,172200,2018-03-29,north
1429,155700,2018-03-29,south
1430,168600,2018-03-29,east
1431,177900,2018-03-29,west
1456,173400,2018-03-30,north
1457,177600,2018-03-30,south
1458,155400,2018-03-30,east
1459,172500,2018-03-30,west
1484,161700,2018-03-31,north
1485,163500,2018-03-31,south
1486,160500,2018-03-31,east
1487,178500,2018-03-31,west
1512,176100,2018-04-01,north
1513,153000,2018-04-01,south
1514,171000,2018-04-01,east
1515,150600,2018-04-01,west
1540,150900,2018-04-02,north
1541,179700,2018-04-02,south
1542,166200,2018-04-02,east
1543,153000,2018-04-02,west
1568,176700,2018-04-03,north
1569,176700,2018-04-03,south
1570,161400,2018-04-03,east
1571,153300,2018-04-03,west
1596,176700,2018-04-04,north
1597,176100,2018-04-04,south
1598,156600,2018-04-04,east
1599,162300,2018-04-04,west
1624,150600,2018-04-05,north
1625,151200,2018-04-05,south
1626,169200,2018-04-05,east
1627,174900,2018-04-05,west
1652,170100,2018-04-06,north
1653,175200,2018-04-06,south
1654,163200,2018-04-06,east
1655,151500,2018-04-06,west
1680,172500,2018-04-07,north
1681,161100,2018-04-07,south
1682,178800,2018-04-07,east
1683,161700,2018-04-07,west
1708,165600,2018-04-08,north
1709,167400,2018-04-08,south
1710,155700,2018-04-08,east
1711,170100,2018-04-08,west
1736,168600,2018-04-09,north
1737,178200,2018-04-09,south
1738,164100,2018-04-09,east
1739,155700,2018-04-09,west
1764,168600,2018-04-10,north
1765,152700,2018-04-10,south
1766,169800,2018-04-10,east
1767,172800,2018-04-10,west
1792,167100,2018-04-11,north
1793,152700,2018-04-11,south
1794,158100,2018-04-11,east
1795,176400,2018-04-11,west
1820,165300,2018-04-12,north
1821,162600,2018-04-12,south
1822,178200,2018-04-12,east
1823,174900,2018-04-12,west
1848,153900,2018-04-13,north
1849,175200,2018-04-13,south
1850,167400,2018-04-13,east
1851,174900,2018-04-13,west
1876,156900,2018-04-14,north
1877,179400,2018-04-14,south
1878,167400,2018-04-14,east
1879,163800,2018-04-14,west
1904,151500,2018-04-15,north
1905,152700,2018-04-15,south
1906,160200,2018-04-15,east
1907,165300,2018-04-15,west
1932,160200,2018-04-16,north
1933,170700,2018-04-16,south
1934,154800,2018-04-16,east
1935,152700,2018-04-16,west
1960,159900,2018-04-17,north
1961,172800,2018-04-17,south
1962,170400,2018-04-17,east
1963,153900,2018-04-17,west
1988,154500,2018-04-18,north
1989,179700,2018-04-18,south
1990,151500,2018-04-18,east
1991,171900,2018-04-18,west
2016,171300,2018-04-19,north
2017,167400,2018-04-19,south
2018,176700,2018-04-19,east
2019,176700,2018-04-19,west
2044,166800,2018-04-20,north
2045,162000,2018-04-20,south
2046,167700,2018-04-20,east
2047,150900,2018-04-20,west
2072,168300,2018-04-21,north
2073,174300,2018-04-21,south
2074,164400,2018-04-21,east
2075,157800,2018-04-21,west
2100,157200,2018-04-22,north
2101,154500,2018-04-22,south
2102,155700,2018-04-22,east
2103,162600,2018-04-22,west
2128,171000,2018-04-23,north
2129,165900,2018-04-23,south
2130,166500,2018-04-23,east
2131,152100,2018-04-23,west
2156,150300,2018-04-24,north
2157,165000,2018-04-24,south
2158,168900,2018-04-24,east
2159,174300,2018-04-24,west
2184,162300,2018-04-25,north
2185,150300,2018-04-25,south
2186,175800,2018-04-25,east
2187,155700,2018-04-25,west
2212,171300,2018-04-26,north
2213,173400,2018-04-26,south
2214,174000,2018-04-26,east
2215,156300,2018-04-26,west
2240,171600,2018-04-27,north
2241,179100,2018-04-27,south
2242,167400,2018-04-27,east
2243,171600,2018-04-27,west
2268,163200,2018-04-28,north
2269,164100,2018-04-28,south
2270,158400,2018-04-28,east
2271,159000,2018-04-28,west
2296,171300,2018-04-29,north
2297,159300,2018-04-29,south
2298,174000,2018-04-29,east
2299,163800,2018-04-29,west
2324,165300,2018-04-30,north
2325,159000,2018-04-30,south
2326,159300,2018-04-30,east
2327,160200,2018-04-30,west
2352,178500,2018-05-01,north
2353,176400,2018-05-01,south
2354,150600,2018-05-01,east
2355,153600,2018-05-01,west
2380,162300,2018-05-02,north
2381,167400,2018-05-02,south
2382,179100,2018-05-02,east
2383,165300,2018-05-02,west
2408,178500,2018-05-03,north
2409,156900,2018-05-03,south
2410,150000,2018-05-03,east
2411,177000,2018-05-03,west
2436,165300,2018-05-04,north
2437,159000,2018-05-04,south
2438,167100,2018-05-04,east
2439,162900,2018-05-04,west
2464,157800,2018-05-05,north
2465,166500,2018-05-05,south
2466,157500,2018-05-05,east
2467,158700,2018-05-05,west
2492,167400,2018-05-06,north
2493,178500,2018-05-06,south
2494,171900,2018-05-06,east
2495,161700,2018-05-06,west
2520,179400,2018-05-07,north
2521,156300,2018-05-07,south
2522,172800,2018-05-07,east
2523,174000,2018-05-07,west
2548,161700,2018-05-08,north
2549,165000,2018-05-08,south
2550,172800,2018-05-08,east
2551,163500,2018-05-08,west
2576,158400,2018-05-09,north
2577,164700,2018-05-09,south
2578,155100,2018-05-09,east
2579,151200,2018-05-09,west
2604,173700,2018-05-10,north
2605,155100,2018-05-10,south
2606,151500,2018-05-10,east
2607,171600,2018-05-10,west
2632,174600,2018-05-11,north
2633,167700,2018-05-11,south
2634,158400,2018-05-11,east
2635,161700,2018-05-11,west
2660,174300,2018-05-12,north
2661,153300,2018-05-12,south
2662,152100,2018-05-12,east
2663,157800,2018-05-12,west
2688,154500,2018-05-13,north
2689,171300,2018-05-13,south
2690,166500,2018-05-13,east
2691,164400,2018-05-13,west
2716,177600,2018-05-14,north
2717,156000,2018-05-14,south
2718,164400,2018-05-14,east
2719,150300,2018-05-14,west
2744,180000,2018-05-15,north
2745,175800,2018-05-15,south
2746,170100,2018-05-15,east
2747,167100,2018-05-15,west
2772,159300,2018-05-16,north
2773,161700,2018-05-16,south
2774,162600,2018-05-16,east
2775,162900,2018-05-16,west
2800,172800,2018-05-17,north
2801,150600,2018-05-17,south
2802,159000,2018-05-17,east
2803,162600,2018-05-17,west
2828,178200,2018-05-18,north
2829,157200,2018-05-18,south
2830,153900,2018-05-18,east
2831,150900,2018-05-18,west
2856,178800,2018-05-19,north
2857,171300,2018-05-19,south
2858,162600,2018-05-19,east
2859,162900,2018-05-19,west
2884,154800,2018-05-20,north
2885,171600,2018-05-20,south
2886,175200,2018-05-20,east
2887,163800,2018-05-20,west
2912,157500,2018-05-21,north
2913,167100,2018-05-21,south
2914,162600,2018-05-21,east
2915,157200,2018-05-21,west
2940,157200,2018-05-22,north
2941,156900,2018-05-22,south
2942,158100,2018-05-22,east
2943,152100,2018-05-22,west
2968,164100,2018-05-23,north
2969,169200,2018-05-23,south
2970,171300,2018-05-23,east
2971,156300,2018-05-23,west
2996,152400,2018-05-24,north
2997,153300,2018-05-24,south
2998,169500,2018-05-24,east
2999,153300,2018-05-24,west
3024,159900,2018-05-25,north
3025,166500,2018-05-25,south
3026,171300,2018-05-25,east
3027,164400,2018-05-25,west
3052,177600,2018-05-26,north
3053,153000,2018-05-26,south
3054,165000,2018-05-26,east
3055,151200,2018-05-26,west
3080,162900,2018-05-27,north
3081,170700,2018-05-27,south
3082,152100,2018-05-27,east
3083,176100,2018-05-27,west
3108,175500,2018-05-28,north
3109,165900,2018-05-28,south
3110,180000,2018-05-28,east
3111,153900,2018-05-28,west
3136,171300,2018-05-29,north
3137,175200,2018-05-29,south
3138,162900,2018-05-29,east
3139,163500,2018-05-29,west
3164,167400,2018-05-30,north
3165,170100,2018-05-30,south
3166,161400,2018-05-30,east
3167,179400,2018-05-30,west
3192,172500,2018-05-31,north
3193,165900,2018-05-31,south
3194,153600,2018-05-31,east
3195,162000,2018-05-31,west
3220,179400,2018-06-01,north
3221,162300,2018-06-01,south
3222,166500,2018-06-01,east
3223,167100,2018-06-01,west
3248,175200,2018-06-02,north
3249,170700,2018-06-02,south
3250,179700,2018-06-02,east
3251,166800,2018-06-02,west
3276,159600,2018-06-03,north
3277,150300,2018-06-03,south
3278,157800,2018-06-03,east
3279,168000,2018-06-03,west
3304,160800,2018-06-04,north
3305,168300,2018-06-04,south
3306,157200,2018-06-04,east
3307,165600,2018-06-04,west
3332,171300,2018-06-05,north
3333,169800,2018-06-05,south
3334,155700,2018-06-05,east
3335,178200,2018-06-05,west
3360,169500,2018-06-06,north
3361,168000,2018-06-06,south
3362,176100,2018-06-06,east
3363,165900,2018-06-06,west
3388,151800,2018-06-07,north
3389,157200,2018-06-07,south
3390,178500,2018-06-07,east
3391,155700,2018-06-07,west
3416,171900,2018-06-08,north
3417,167700,2018-06-08,south
3418,169500,2018-06-08,east
3419,160200,2018-06-08,west
3444,178200,2018-06-09,north
3445,177300,2018-06-09,south
3446,165600,2018-06-09,east
3447,166500,2018-06-09,west
3472,157800,2018-06-10,north
3473,164100,2018-06-10,south
3474,173700,2018-06-10,east
3475,155700,2018-06-10,west
3500,178800,2018-06-11,north
3501,167700,2018-06-11,south
3502,169800,2018-06-11,east
3503,172800,2018-06-11,west
3528,177600,2018-06-12,north
3529,155100,2018-06-12,south
3530,154800,2018-06-12,east
3531,154200,2018-06-12,west
3556,168300,2018-06-13,north
3557,168300,2018-06-13,south
3558,157200,2018-06-13,east
3559,168300,2018-06-13,west
3584,176100,2018-06-14,north
3585,166800,2018-06-14,south
3586,159900,2018-06-14,east
3587,159300,2018-06-14,west
3612,162300,2018-06-15,north
3613,173700,2018-06-15,south
3614,159300,2018-06-15,east
3615,178800,2018-06-15,west
3640,165900,2018-06-16,north
3641,164100,2018-06-16,south
3642,157500,2018-06-16,east
3643,161100,2018-06-16,west
3668,159900,2018-06-17,north
3669,153000,2018-06-17,south
3670,160800,2018-06-17,east
3671,162600,2018-06-17,west
3696,153000,2018-06-18,north
3697,170700,2018-06-18,south
3698,161100,2018-06-18,east
3699,163500,2018-06-18,west
3724,159300,2018-06-19,north
3725,174900,2018-06-19,south
3726,162300,2018-06-19,east
3727,160800,2018-06-19,west
3752,166500,2018-06-20,north
3753,165900,2018-06-20,south
3754,173400,2018-06-20,east
3755,155700,2018-06-20,west
3780,179700,2018-06-21,north
3781,158700,2018-06-21,south
3782,155700,2018-06-21,east
